start,end,name
2026-08-05,2026-08-07,Welcome Week
2026-08-10,2026-08-17,Staff Development
2026-08-18,,Instructional Planning
2026-09-07,,Labor Day
2026-09-21,,Staff Development
2026-10-09,,Holiday for Students and Teachers
2026-10-12,,Staff Development
2026-11-09,,Staff Development
2026-11-23,2026-11-27,Thanksgiving
2026-12-21,2027-01-01,Christmas
2027-01-04,,Instructional Planning
2027-01-05,,Staff Development
2027-01-18,,MLK Jr. Day
2027-02-15,,Staff Development
2027-03-08,2027-03-12,Spring Break
2027-03-26,2027-03-29,Easter Break
2027-05-28,,Instructional Planning
2027-05-31,,Memorial Day
